mod_1,mod_2,FNF,TNF,GF,GS,thermal,epithermal,fast,current,fast_neutron_dose,photon_dose
36.84,6.32,5.81,0.62,6.58,6.75,12591000,164220000,524370000,97292000,0.0017868,0.00021886
22.57,13.04,16.39,0.22,2.95,3.46,8482000,192630000,262430000,111980000,0.00090374,0.0001706
26.17,8.15,19.52,0.12,4.25,1.61,9847000,167410000,172340000,95715000,0.00059021,0.00013449
36.95,15.01,8.92,0.71,5.61,8.6,7770900,142270000,268890000,84357000,0.00071916,0.00012522
29.17,9.51,15.53,0.49,8.47,5.08,8208700,140430000,200390000,82253000,0.00063175,0.00011264
15.38,17.4,0.24,0.83,2.34,4.58,20421000,182750000,1795600000,100320000,0.010027,0.00067212
16.35,9.14,24.07,0.18,6.88,8.3,6129300,136330000,123580000,82447000,0.00035,8.97E-05
30.55,17.77,10.43,0.52,3.26,1.28,11354000,155640000,280760000,87633000,0.0010256,0.00017493
38.3,8.74,17.14,0.3,0.18,4.9,3892400,148780000,154390000,87387000,0.00045062,0.00014302
27.15,14.42,5.07,0.89,9.04,5.38,14012000,151680000,532330000,88338000,0.0019321,0.0001972
21.57,6.65,8.2,0.79,7.53,9.73,15287000,201100000,674210000,119150000,0.0025631,0.0002558
35.47,12.7,20.25,0.39,1.4,0.55,4569100,94918000,72309000,52899000,0.00027421,9.26E-05
30.63,10.94,1.08,0.67,4.57,3.14,20120000,174660000,1030700000,97760000,0.0046843,0.00037304
19.98,19.66,14.68,0.01,5.93,6.44,9144500,185840000,255910000,111840000,0.00076763,0.00014091
18.27,7.21,2.03,0.46,2.74,5.77,26211000,215280000,2129600000,120600000,0.012296,0.00078497
32.54,15.95,13.29,0.87,6.52,4.04,7613300,117280000,182020000,68141000,0.00056351,0.0001023
33.96,10.45,7.59,0.09,9.44,2.3,16414000,177430000,400780000,101310000,0.0014147,0.00018927
22.89,16.47,20.42,0.74,0.74,8.07,3770100,109830000,122910000,64765000,0.00037538,0.00010231
25.93,12.46,17.3,0.6,2.09,7.46,5959800,145690000,195240000,86382000,0.00060797,0.0001285
39.71,18.15,4.46,0.25,8.38,2.9,13466000,147140000,351320000,84966000,0.0010221,0.00015592
28.74,5.38,22.68,0.97,5.05,0.94,7402600,84953000,84839000,46789000,0.00033743,7.47E-05
17.96,13.97,11.39,0.38,3.84,8.87,12904000,222320000,524040000,133750000,0.0017739,0.00023458
17.68,11.72,5.91,0.04,7.92,7.94,19900000,236580000,919670000,140820000,0.0036851,0.00033196
28.44,18.93,15.71,0.69,1.63,2.51,4487300,118240000,151470000,66611000,0.00053065,0.00012344
39.24,5.69,9.91,0.41,4.96,3.83,11139000,173650000,351020000,101440000,0.0011648,0.00017399
25.43,13.7,24.4,0.81,6.17,5.89,3134700,71223000,60401000,41757000,0.00017197,4.86E-05
23.39,7.35,15.03,0.9,7.27,9,9019100,161530000,285440000,96267000,0.00092214,0.00013907
34.43,15.74,0.53,0.31,3.49,0.74,26864000,191730000,905610000,106220000,0.0038182,0.00036597
32.84,9.77,18.85,0.53,0.57,3.1,3140800,125990000,133280000,72014000,0.00045234,0.00013086
18.55,17.07,9.02,0.19,9.27,7.33,13295000,190590000,484820000,114180000,0.0016328,0.00019493
20.45,6.03,21.75,0.36,2.48,5.5,6782300,173980000,192280000,102310000,0.00062922,0.00014601
31.14,13.37,6.45,0.95,8.61,4.69,11785000,146100000,412180000,84231000,0.0014267,0.00017265
35.76,11.14,13.25,0.23,5.44,1.49,11319000,156170000,208460000,89429000,0.00069139,0.00013562
21.88,19.51,2.66,0.57,4.08,8.17,15589000,181800000,839920000,104650000,0.0032968,0.00030324
26.84,9.4,12.03,0.74,3.13,6.31,9724600,180920000,406220000,106550000,0.0013908,0.00020918
38.01,17.44,22.62,0.09,6.75,3.34,3137700,67359000,40833000,38998000,0.00010906,4.06E-05
30.05,7.95,3.35,0.86,9.83,0.35,40794000,159030000,668790000,85922000,0.0032329,0.00026511
15.87,15.14,18.61,0.46,0.97,9.86,7096700,174820000,234100000,104950000,0.0007111,0.00016043
15.66,8.29,7.31,0.56,5.76,3.64,25502000,247530000,1158100000,141260000,0.0054221,0.00044079
29.47,14.8,20.9,0.15,4.4,6.64,4427800,112340000,92433000,67383000,0.00024366,7.30E-05
37.42,8.83,1.93,0.92,1.54,9.54,13282000,161790000,763910000,93976000,0.0029118,0.00030044
26.66,18.01,13.98,0.28,7.67,0.05,21160000,137790000,166970000,75654000,0.00066266,0.00012078
22.07,10.78,23.35,0.44,8.91,4.39,6019800,97662000,91287000,56994000,0.00027792,6.64E-05
36.36,19.87,11.29,0.78,0.04,5.18,3782100,130800000,206600000,75987000,0.00057756,0.00016343
31.7,6.63,17.8,0.07,3.43,8.5,7375200,173930000,195330000,105500000,0.00053553,0.00012359
20.66,12.76,4.16,0.66,7.06,1.79,27093000,181300000,939940000,101960000,0.0045384,0.00034678
19.14,10.34,16.45,0.82,4.02,1.06,12992000,163640000,274550000,91132000,0.0011783,0.00018571
33.02,16.5,5.16,0.48,5.22,9.3,10818000,164190000,450980000,98478000,0.0013661,0.00017904
34.65,7.01,23.58,0.7,8.24,7.02,3303500,74161000,58674000,44308000,0.0001639,4.53E-05
23.97,16.08,10.73,0.11,1.95,2.78,11196000,233100000,475030000,134880000,0.0017028,0.00027101
24.86,5.09,1.37,0.2,0.87,2.18,18600000,199180000,2227800000,109040000,0.013634,0.0011138
39.03,14.31,14.2,0.6,9.58,7.64,5405800,103290000,120220000,61380000,0.00030474,7.11E-05
28.25,12.08,8.3,0.32,6.34,6.2,13260000,191720000,489660000,113690000,0.0016385,0.00020535
17.08,18.57,19.56,0.97,2.56,4.16,4865100,111120000,145220000,62750000,0.00050974,0.00010774
17.26,9.87,8.7,0.48,1.66,1.65,17338000,257400000,1030400000,143600000,0.0050631,0.00056009
28.07,16.97,19.31,0.82,7.86,8.7,4324200,85364000,88477000,51358000,0.00024046,6.00E-05
38.87,7.48,0.02,0.11,6.2,5.13,21728000,189070000,920780000,109160000,0.0036769,0.00029879
25.02,15.61,15.3,0.7,4.9,4.69,8004200,137530000,211430000,80562000,0.00068385,0.00012223
23.76,5.56,24.67,0.61,3.55,0.3,8666100,98566000,84569000,54358000,0.00035333,9.04E-05
34.86,13.84,9.4,0.21,7.26,9.51,8810800,165040000,289190000,98716000,0.00076856,0.00013589
33.25,11.61,16.17,0.98,9.33,6.82,5605000,102600000,129900000,60625000,0.00036708,7.67E-05
18.91,19.04,5.6,0.33,0.55,3.55,10317000,218160000,974840000,123750000,0.0041452,0.00052109
20.82,7.82,18.34,0.16,8.74,4.3,10274000,175760000,230260000,103290000,0.00075087,0.00013405
31.55,15.27,3.86,0.56,2.39,5.99,12426000,181480000,693810000,104650000,0.0025071,0.00028269
36.18,9.3,22.15,0.28,4.21,7.69,3858500,94833000,73702000,56605000,0.0001896,6.04E-05
22.25,17.54,12.35,0.94,5.34,1.88,11591000,140560000,281690000,79416000,0.0011116,0.00015668
26.43,11.25,2.97,0.77,6.85,2.54,22010000,164650000,872090000,92592000,0.0039888,0.00032323
37.65,19.4,12.79,0.43,2.99,7.05,5456500,127710000,160310000,76102000,0.00040913,9.61E-05
29.67,6.16,6.97,0.65,1.07,9.12,13395000,203850000,753330000,121020000,0.002869,0.00033674
15.45,13.23,21.48,0.06,9.69,1.15,12264000,134200000,133810000,76962000,0.00048159,9.89E-05
16.03,6.5,4.67,0.95,4.53,7.35,23758000,209180000,1535700000,120610000,0.0077618,0.00052988
29.89,12.9,17.53,0.36,5.66,2.86,7199100,127660000,143640000,73883000,0.00047511,9.98E-05
37.83,10.67,11.61,0.58,7.8,0.83,14564000,125490000,200050000,70966000,0.00072563,0.00012345
27.03,19.98,22.89,0.23,1.44,8.82,2872300,86265000,64924000,52158000,0.00016173,5.85E-05
21.65,8.93,13.51,0.07,0.14,5.69,9660000,293980000,566930000,174220000,0.0019631,0.00038105
35.99,17.91,2.25,0.72,8.76,3.98,13338000,140370000,448390000,80072000,0.0014849,0.00017732
31.34,8.41,20.63,0.44,7.16,2.21,6673300,102470000,101600000,58161000,0.00032545,7.50E-05
20.25,14.67,7.81,0.85,3.29,7.99,13168000,192070000,669170000,113310000,0.002474,0.00027101
18.73,12.18,20.03,0.68,5.25,9.84,6050500,133610000,162530000,80503000,0.0004672,9.93E-05
32.66,18.46,7.99,0.03,3.96,0.6,20957000,196930000,368400000,110810000,0.001268,0.00020775
34.28,5.23,14.47,0.8,1.98,3.25,6889000,152060000,255070000,86333000,0.00097471,0.00017378
23.55,14.17,0.85,0.4,8.18,6.5,19911000,182790000,1001800000,102480000,0.0043155,0.00031843
25.22,6.88,10.22,0.31,9.63,8.38,13114000,194820000,465120000,117980000,0.0015246,0.00019426
39.44,16.21,23.84,0.9,0.86,1.35,1248500,41203000,27009000,22998000,9.80E-05,4.68E-05
28.67,10.24,4.85,0.19,2.62,4.99,16235000,224570000,942500000,130120000,0.0037704,0.000383
17.45,16.6,16.92,0.53,6.33,5.45,8191800,151030000,220430000,88372000,0.000711,0.00012496
17.76,7.68,22.44,0.87,0.38,6.39,4785700,144460000,175300000,83037000,0.00059777,0.00016319
28.95,15.48,11.87,0.47,9.15,3.43,9992400,137300000,241850000,79921000,0.00077564,0.00012381
39.94,9.98,18.44,0.75,7.39,0.41,8699900,75369000,69418000,42273000,0.0002608,6.06E-05
25.69,16.93,3.17,0.1,3.68,9.95,15427000,207320000,805580000,123970000,0.0029026,0.0002941
23.07,11.99,6.29,0.25,4.76,5.56,17188000,219580000,838920000,129860000,0.003242,0.00032733
33.78,18.62,21.57,0.58,6.05,4.81,3072800,67035000,51422000,38657000,0.00014762,4.42E-05
32.38,5.85,2.48,0.37,8.03,1.53,27998000,169440000,877300000,95903000,0.004135,0.00032064
18.43,13.5,13.09,0.96,1.83,8.28,9695500,189660000,421000000,110830000,0.0014983,0.00021928
19.74,9.61,0.69,0.51,9.87,8.93,20597000,170190000,1196400000,99228000,0.0056771,0.00036499
30.87,17.3,15.21,0.17,1.25,0.65,7145700,154280000,166710000,86680000,0.00058477,0.00016293
35.68,8.27,9.2,0.88,2.85,3.04,9495800,157210000,392650000,89482000,0.0014715,0.00020767
21.36,14.89,19.01,0.29,6.72,7.24,6578600,136440000,154690000,82035000,0.00043839,9.58E-05
27.31,6.18,15.88,0.39,5.48,7.89,9248600,181520000,269580000,107030000,0.00082025,0.00014624
38.14,13.17,6.08,0.79,4.35,2.39,12336000,148240000,398600000,83068000,0.0014258,0.00018752
30.37,11.41,24.56,0.02,2.21,3.79,3324700,105670000,65953000,61539000,0.00019619,7.25E-05
16.54,19.19,10.09,0.67,8.57,5.79,12253000,168890000,413170000,98123000,0.0014498,0.00017758
15.15,11.05,14.36,0.34,3.16,2.09,15647000,253460000,515770000,144990000,0.0021247,0.00029902
29.4,19.56,1.55,0.99,7.02,7.57,12850000,143300000,574970000,84184000,0.0020053,0.000202
37.16,6.78,19.74,0.22,8.94,6.11,5276000,105500000,95485000,62925000,0.00026147,6.99E-05
25.96,12.57,8.47,0.62,0.32,4.09,7870200,202560000,636080000,115800000,0.0025074,0.00039669
22.72,8.62,5.34,0.72,1.27,0.95,17851000,196880000,1166400000,107700000,0.0065433,0.00068172
